p,K,KsqrtlogK,deviation
0.00605102040816327,5.68491485486715,7.49421035138866,6.05977947996884
0.00706122448979592,5.34332474142476,6.91717703705238,5.40485907232319
0.00807142857142857,5.06600113038935,6.45304307733163,5.05209820030974
0.00908163265306123,4.83484546295621,6.06931838479214,4.87654127816932
0.0100918367346939,4.63820180131186,5.74524519717082,4.55294344634665
0.0111020408163265,4.46817384466569,5.46686098490599,4.30988124217155
0.0121122448979592,4.31919375351808,5.2243835586393,4.18124729796192
0.0131224489795918,4.18720585764103,5.01072911162426,3.84292398934558
0.0141326530612245,4.06917535959763,4.82062543181122,3.82096160645944
0.0151428571428571,3.96277928595044,4.65005702175257,3.67870809384845
0.0161530612244898,3.86620475608143,4.49590467206572,3.47496838719046
0.0171632653061225,3.77801309650175,4.35570378272002,3.41559598183252
0.0181734693877551,3.69704579685786,4.22747781276404,3.22797440177622
0.0191836734693878,3.6223578720826,4.10962073726082,3.26675916777793
0.0201938775510204,3.55316965648165,4.00081233687031,3.11844739234101
0.0212040816326531,3.4888312863186,3.89995600708009,3.04419403816392
0.0222142857142857,3.42879609965276,3.80613233925921,3.00993435515103
0.0232244897959184,3.37260042000571,3.71856395568543,2.89053103144855
0.024234693877551,3.31984798682411,3.63658851075536,2.88456082318456
0.0252448979591837,3.27019781960787,3.55963770843193,2.83133300124114
0.0262551020408163,3.22335465420493,3.48722081358671,2.80035107968843
0.027265306122449,3.17906133011925,3.4189115626572,2.65664871877664
0.0282755102040816,3.1370926747078,3.35433767550929,2.62099617528131
0.0292857142857143,3.09725054799721,3.29317237903894,2.51563454495305
0.0302959183673469,3.05935979617897,3.23512750196214,2.54044868062397
0.0313061224489796,3.02326492296227,3.17994780791511,2.5531832508532
0.0323163265306122,2.98882733279487,3.12740631277934,2.42631640209973
0.0333265306122449,2.95592303321141,3.07730039045055,2.40577146450248
0.0343367346938776,2.9244407084822,3.02944851486463,2.33850163853472
0.0353469387755102,2.89428009558441,2.98368751900422,2.3309198549007
0.0363571428571429,2.86535060790612,2.93987027668224,2.21301268736259
0.0373673469387755,2.83757016317022,2.89786373216083,2.26902546701933
0.0383775510204082,2.81086418066002,2.85754721758254,2.25319103188496
